Dates,Volatility
2017-01-02,3.926981756899169e-06
2017-01-03,5.540861666597909e-06
2017-01-04,2.280700360444659e-06
2017-01-05,1.6778507702447942e-06
2017-01-06,2.8180463649978785e-06
2017-01-09,1.95506542296782e-06
2017-01-10,2.176791134634802e-06
2017-01-11,2.1327087057449647e-06
2017-01-12,9.319539842634017e-07
2017-01-13,1.2435952662896374e-06
2017-01-16,8.13656648822776e-07
2017-01-17,2.1429847894123113e-06
2017-01-18,1.2095561722830637e-06
2017-01-19,1.2448009854844836e-06
2017-01-20,1.2248582321865889e-06
2017-01-23,1.1094471080316148e-06
2017-01-24,1.4216401441383955e-06
2017-01-25,6.763413552782093e-07
2017-01-26,6.478852392960765e-07
2017-01-27,1.5910402923461423e-06
2017-01-30,1.1171068166337482e-06
2017-01-31,1.6246479106731286e-06
2017-02-01,1.5346074845584356e-06
2017-02-02,1.1959325846504327e-06
2017-02-03,7.761327646761564e-07
2017-02-06,7.683048892617341e-07
2017-02-07,7.557427469845987e-07
2017-02-08,1.0965815978281713e-06
2017-02-09,6.870256847348211e-07
2017-02-10,5.758677467555308e-07
2017-02-13,7.094726969574459e-07
2017-02-14,7.635212147764807e-07
2017-02-15,5.462616562984035e-07
2017-02-16,1.1710076082073972e-06
2017-02-17,1.9008673873885438e-06
2017-02-20,1.4367073172530518e-06
2017-02-21,2.494515778787062e-06
2017-02-22,1.1586314416635606e-06
2017-02-23,1.9446894578322683e-06
2017-02-24,2.5671023237747438e-06
2017-02-27,2.1404605386775136e-06
2017-02-28,1.3487267482017232e-06
2017-03-01,1.5507258992399497e-06
2017-03-02,3.4529297365561957e-07
2017-03-03,3.2040743690751815e-07
2017-03-06,3.179297812252104e-07
2017-03-07,2.9420425415291184e-07
2017-03-08,2.4177506048171236e-07
2017-03-09,6.782095212404051e-07
2017-03-10,6.02560647891109e-07
2017-03-13,3.6583626065593727e-07
2017-03-14,3.43539198477467e-07
2017-03-15,4.425127639726007e-07
2017-03-16,2.459409924741746e-07
2017-03-17,4.170517194916638e-07
2017-03-20,3.418053756470331e-07
2017-03-21,2.3381707374260724e-07
2017-03-22,2.1348143235893078e-06
2017-03-23,6.787664369263894e-07
2017-03-24,6.036759804289654e-07
2017-03-27,7.141291264326575e-07
2017-03-28,7.755343595860971e-07
2017-03-29,5.028429884895459e-07
2017-03-30,4.234270927671138e-07
2017-03-31,3.783305422455695e-07
2017-04-03,5.396448641256508e-07
2017-04-04,1.1277306832822316e-06
2017-04-05,6.169877839657061e-07
2017-04-06,8.703522862152392e-07
2017-04-07,4.5737894470991935e-07
2017-04-10,5.635947577719921e-07
2017-04-11,1.2835561919182276e-06
2017-04-12,1.0335555877759977e-06
2017-04-13,1.3985001113100883e-06
2017-04-14,1.6167823299939674e-06
2017-04-17,1.859811710558675e-06
2017-04-18,4.121081985619221e-07
2017-04-19,9.32623036951888e-07
2017-04-20,6.382862139099027e-07
2017-04-21,6.295128877125739e-07
2017-04-24,7.302858705179771e-07
2017-04-25,6.213335280734394e-07
2017-04-26,6.429485694473141e-07
2017-04-27,9.0885753140296e-07
2017-04-28,4.794491268174535e-07
2017-05-01,5.398923248917807e-07
