Dates,Volatility
2017-01-02,9.4957352152228e-06
2017-01-03,1.0057597748442873e-05
2017-01-04,7.420990533666998e-06
2017-01-05,5.830373170108649e-06
2017-01-06,6.5811132808530785e-06
2017-01-09,6.699805635721482e-06
2017-01-10,6.822941642590403e-06
2017-01-11,7.65053122581338e-06
2017-01-12,8.676913689075858e-06
2017-01-13,8.912739131397989e-06
2017-01-16,8.910406329395892e-06
2017-01-17,9.75545782589211e-06
2017-01-18,9.293193313730589e-06
2017-01-19,8.638107222628308e-06
2017-01-20,1.341456238188119e-05
2017-01-23,1.1614679247528328e-05
2017-01-24,1.0648277629121263e-05
2017-01-25,6.495612225375133e-06
2017-01-26,7.273790963654553e-06
2017-01-27,7.307260408528608e-06
2017-01-30,7.437216737780826e-06
2017-01-31,7.323012782564628e-06
2017-02-01,9.1899704523736e-06
2017-02-02,9.87605511495819e-06
2017-02-03,1.0215428642182317e-05
2017-02-06,8.70089859099117e-06
2017-02-07,9.484241484819848e-06
2017-02-08,1.0081023306325864e-05
2017-02-09,1.1459447748506044e-05
2017-02-10,1.0474958234204407e-05
2017-02-13,9.441209054973033e-06
2017-02-14,8.555357149971747e-06
2017-02-15,8.570248825453214e-06
2017-02-16,9.144858737623066e-06
2017-02-17,9.753932894239065e-06
2017-02-20,1.0460421646980214e-05
2017-02-21,1.157113293596182e-05
2017-02-22,9.981047552898647e-06
2017-02-23,1.12900045624917e-05
2017-02-24,1.2110549984331519e-05
2017-02-27,1.1980347489703265e-05
2017-02-28,1.4619285517242177e-05
2017-03-01,1.0254321792660429e-05
2017-03-02,6.658889270279179e-06
2017-03-03,6.812143095353936e-06
2017-03-06,6.985172872441257e-06
2017-03-07,7.473603892488667e-06
2017-03-08,7.233821948321855e-06
2017-03-09,1.0859087617065681e-05
2017-03-10,1.295444651382132e-05
2017-03-13,1.1555908979034327e-05
2017-03-14,1.1112514016587613e-05
2017-03-15,1.2603403041485414e-05
2017-03-16,9.254784255402424e-06
2017-03-17,9.547139196898914e-06
2017-03-20,9.02479050415235e-06
2017-03-21,8.327479837968103e-06
2017-03-22,8.021479638404037e-06
2017-03-23,8.890435809333626e-06
2017-03-24,8.742220760009513e-06
2017-03-27,9.568139034743364e-06
2017-03-28,8.876252209016209e-06
2017-03-29,4.06612876358528e-06
2017-03-30,4.345684582391087e-06
2017-03-31,4.3553794552615896e-06
2017-04-03,5.223917251137419e-06
2017-04-04,8.070817007019874e-06
2017-04-05,7.783050085139105e-06
2017-04-06,1.2536106292871669e-05
2017-04-07,1.2313305099803176e-05
2017-04-10,1.3346090812933105e-05
2017-04-11,1.4834545057632164e-05
2017-04-12,1.6299913691016816e-05
2017-04-13,1.7427000333963994e-05
2017-04-14,1.653050675194798e-05
2017-04-17,1.9232437431676688e-05
2017-04-18,1.374731051909615e-05
2017-04-19,1.1056971956364348e-05
2017-04-20,1.2822972648624745e-05
2017-04-21,1.2732658967788249e-05
2017-04-24,1.2092743439964208e-05
2017-04-25,7.657361673155722e-06
2017-04-26,7.76250938390199e-06
2017-04-27,8.80651985595167e-06
2017-04-28,8.805313114300051e-06
2017-05-01,9.878874816470782e-06
2017-05-02,6.308991140824349e-06
2017-05-03,6.828954425300881e-06
2017-05-04,1.3100694736245563e-05
2017-05-05,1.2945140058770063e-05
2017-05-08,1.0514971921561485e-05
2017-05-09,1.0902983517130937e-05
2017-05-10,1.370153812274119e-05
2017-05-11,1.2515083055905582e-05
2017-05-12,1.2576809133349897e-05
2017-05-15,1.2861482611647224e-05
2017-05-16,1.1533656334084427e-05
2017-05-17,1.0391795236406742e-05
2017-05-18,1.3476835317819063e-05
2017-05-19,1.1458785619059988e-05
2017-05-22,9.325438274755433e-06
2017-05-23,8.607456854690586e-06
2017-05-24,7.895813685141643e-06
2017-05-25,8.109130974776966e-06
2017-05-26,8.453017865212099e-06
2017-05-29,8.644262875059176e-06
2017-05-30,9.423011666445373e-06
2017-05-31,1.000309522240546e-05
2017-06-01,9.234782263407686e-06
2017-06-02,6.915959873745406e-06
2017-06-05,6.571412334316956e-06
2017-06-06,6.509232099508882e-06
2017-06-07,6.5831373663485235e-06
2017-06-08,6.289861002142212e-06
2017-06-09,7.0014111195743804e-06
2017-06-12,6.590780319437794e-06
2017-06-13,7.330069096711658e-06
2017-06-14,5.008650133337102e-06
2017-06-15,8.53953733613857e-06
2017-06-16,9.293446715228021e-06
2017-06-19,9.902108866872165e-06
2017-06-20,9.492756510159631e-06
2017-06-21,1.098482666505689e-05
2017-06-22,1.4874268144172917e-05
2017-06-23,1.640853197445045e-05
2017-06-26,1.5560417489459545e-05
2017-06-27,1.709534169022249e-05
2017-06-28,1.651367389763349e-05
2017-06-29,1.659716456796579e-05
2017-06-30,1.4570019229790333e-05
2017-07-03,1.3276934809129368e-05
2017-07-04,8.831482060773461e-06
2017-07-05,9.517225615951186e-06
2017-07-06,1.1569002367962345e-05
2017-07-07,1.0905936019856692e-05
2017-07-10,9.690975300563266e-06
2017-07-11,1.0012243327924917e-05
2017-07-12,9.783334702120067e-06
2017-07-13,6.970374715392485e-06
2017-07-14,6.971620509408267e-06
2017-07-17,6.258399123404522e-06
2017-07-18,6.1700825081769326e-06
2017-07-19,5.901748438567448e-06
2017-07-20,7.098748378422538e-06
2017-07-21,7.647220198688466e-06
2017-07-24,7.76731570428497e-06
2017-07-25,8.316087859572802e-06
2017-07-26,7.286128597369596e-06
2017-07-27,1.2000068131146663e-05
2017-07-28,1.1678884265933518e-05
2017-07-31,1.2905164697387531e-05
2017-08-01,1.4907511621648552e-05
2017-08-02,2.11432756984254e-05
2017-08-03,1.9248052114744004e-05
2017-08-04,1.9627484729796636e-05
2017-08-07,1.9898959383794313e-05
2017-08-08,1.8947188575005973e-05
