Dates,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2011-04-25,0.0010898527,0.0006314893,0.0016952421,0.0015238341,0.00061004225,0.0002615846,0.0021623021,0.0014830569,0.0018275451,0.0041052043,0.0013159912,0.0015870685,0.0030209066,0.0022423167,0.0035026295,0.00029022477,0.00088572665,0.0012592882,0.002726229,0.00033212054
2011-04-26,0.0010896482,0.0006370586,0.0016918982,0.0015275509,0.0006058563,0.00025674907,0.0021602092,0.0014869903,0.0018268115,0.004107249,0.0013220054,0.0015912305,0.0030204735,0.0022435316,0.0035033273,0.00029445885,0.00089764706,0.0012604309,0.002728755,0.000331904
2011-04-27,0.0010879041,0.00063921174,0.0016870868,0.0015304377,0.0006002269,0.0002491229,0.0021566728,0.0014909116,0.0018245861,0.004110677,0.0013280078,0.0015905448,0.0030186693,0.0022430385,0.003502389,0.0002951926,0.0009113717,0.0012611045,0.0027310404,0.0003305568
2011-04-28,0.0010889746,0.0006402943,0.0016817581,0.0015331923,0.00059444114,0.00024238687,0.002152511,0.001494857,0.0018250071,0.0041145626,0.0013321696,0.0015891375,0.003015662,0.002241571,0.0035005605,0.00029507233,0.00092331617,0.0012624998,0.0027361405,0.0003305568
2011-04-29,0.0010904542,0.00064065517,0.0016768143,0.0015329878,0.0005894372,0.00023769571,0.002148373,0.0014975514,0.0018261619,0.0041192058,0.0013338055,0.0015843501,0.0030111154,0.0022377458,0.0034993216,0.00029634737,0.0009313994,0.0012645206,0.0027412646,0.00033236112
2011-05-02,0.0010909834,0.0006396568,0.0016692242,0.0015316046,0.0005853595,0.00023530201,0.0021457027,0.001497768,0.0018271843,0.004122141,0.001335658,0.0015755211,0.0030058709,0.0022316833,0.0034985638,0.0002963594,0.0009380272,0.0012652784,0.00274343,0.0003354284
2011-05-03,0.0010902256,0.00063527835,0.0016584465,0.0015317368,0.00058413256,0.000234039,0.0021438624,0.0014933534,0.0018271963,0.004121539,0.0013377629,0.0015640217,0.0030000971,0.002221435,0.003497734,0.00029483176,0.0009434882,0.0012627523,0.0027427322,0.00033977075
2011-05-04,0.0010891791,0.00062767626,0.0016470314,0.0015317729,0.0005863579,0.0002343758,0.0021443195,0.0014846808,0.001828327,0.004117618,0.0013382321,0.001552378,0.0029930964,0.0022049076,0.0034980827,0.0002935086,0.0009487086,0.0012615976,0.002740495,0.0003466752
2011-05-05,0.0010882409,0.000618318,0.0016366867,0.0015320977,0.0005887516,0.00023464044,0.0021452215,0.0014747451,0.0018296501,0.0041124457,0.0013382802,0.001542322,0.0029851093,0.0021833284,0.0035002478,0.00029540912,0.0009570084,0.0012631373,0.0027382094,0.00035677926
2011-05-06,0.0010843435,0.0006050985,0.0016235274,0.0015313159,0.00058663456,0.00022993723,0.0021438503,0.0014660364,0.0018303358,0.004107321,0.0013380036,0.0015263961,0.0029771463,0.0021594153,0.0035030264,0.0002979111,0.0009731268,0.0012623795,0.0027355151,0.00036724415
2011-05-09,0.0010840308,0.0005872119,0.0016103319,0.0015259751,0.00058861927,0.00022910726,0.0021420459,0.0014561729,0.0018286878,0.004103677,0.0013348882,0.001507463,0.0029704585,0.0021353099,0.0035054924,0.00029798326,0.0009863824,0.0012593843,0.0027301984,0.00037373963
2011-05-10,0.0010859313,0.0005698786,0.0015990973,0.0015203096,0.0005921677,0.00023459231,0.0021384854,0.0014450585,0.0018266189,0.0041002966,0.0013293069,0.0014891194,0.0029649253,0.0021109038,0.0035071282,0.00029872902,0.0009928297,0.0012516018,0.0027233902,0.00037871947
2011-05-11,0.0010907188,0.0005533152,0.0015876219,0.001515811,0.00059655815,0.00024404682,0.0021372105,0.0014325125,0.0018260055,0.0040966882,0.0013234729,0.0014734701,0.0029592598,0.0020838394,0.0035097264,0.00029918613,0.0009966427,0.0012475001,0.0027158363,0.0003859126
2011-05-12,0.0010956024,0.00053742534,0.0015755813,0.0015126354,0.00060091255,0.00025472825,0.0021362603,0.0014194614,0.0018277136,0.004090626,0.0013172542,0.0014603349,0.0029521147,0.0020549826,0.0035109173,0.00029752616,0.0009984951,0.0012435787,0.0027074523,0.0003909887
2011-05-13,0.0011037097,0.00052307517,0.0015646713,0.001510386,0.00060474966,0.00026615546,0.002133987,0.0014090808,0.0018294336,0.004084768,0.0013103136,0.0014474642,0.0029449698,0.0020276657,0.0035116991,0.00029168025,0.0009978216,0.0012406077,0.002699814,0.00039358687
2011-05-16,0.0011128514,0.0005096392,0.001552811,0.0015082088,0.00060749217,0.00027787135,0.002131485,0.0013994699,0.0018315025,0.004077755,0.001302086,0.001433944,0.002937452,0.0020003966,0.0035121082,0.00028400598,0.0009943333,0.0012379253,0.0026914661,0.00039474163
2011-05-17,0.0011270453,0.0004995111,0.0015461352,0.0015020983,0.0006126044,0.0002943506,0.002132375,0.0013914348,0.0018343654,0.004069431,0.0012921143,0.00142135,0.0029320992,0.0019724662,0.0035152356,0.0002802771,0.0009844217,0.0012396213,0.002680063,0.0003977488
2011-05-18,0.001134503,0.000491067,0.0015389661,0.0014990069,0.0006143365,0.00030779862,0.002129416,0.0013865271,0.0018332227,0.0040590744,0.0012831049,0.0014105362,0.0029285026,0.0019529557,0.0035155483,0.00027373352,0.0009733072,0.0012357361,0.002667072,0.00039377934
2011-05-19,0.0011408662,0.00048188915,0.0015303897,0.001498225,0.0006133862,0.0003186605,0.0021236422,0.001381884,0.0018313101,0.004049548,0.0012733135,0.0013995662,0.0029247375,0.0019357548,0.0035143935,0.0002642429,0.00096108613,0.001228579,0.0026560298,0.0003879214
2011-05-20,0.001145834,0.0004731804,0.0015195518,0.0014971064,0.00061149773,0.00032726096,0.002118193,0.0013769884,0.0018306124,0.004040935,0.0012631252,0.0013879946,0.002920287,0.0019203462,0.0035125653,0.00025193763,0.00094945444,0.0012215181,0.0026461903,0.00037975394
2011-05-23,0.0011497072,0.00046457993,0.0015075833,0.0014940391,0.00061000616,0.0003345503,0.0021153062,0.0013707937,0.0018324889,0.0040354743,0.0012532979,0.0013749555,0.0029143088,0.0019039271,0.0035111217,0.00024006535,0.0009391579,0.001218102,0.0026392618,0.0003741967
2011-05-24,0.0011542059,0.00045849342,0.001498177,0.0014908635,0.0006073238,0.000341551,0.0021124554,0.0013694103,0.0018357367,0.004032335,0.0012446613,0.0013625179,0.0029091365,0.0018924277,0.0035098589,0.00022636473,0.0009315077,0.00121554,0.0026363991,0.0003682666
2011-05-25,0.0011603405,0.00045412703,0.0014901779,0.0014868339,0.00060343853,0.00035038,0.0021089553,0.0013706011,0.0018400189,0.00403035,0.0012358443,0.0013522094,0.0029046498,0.0018839595,0.0035085718,0.000214721,0.0009247115,0.00121222,0.0026375537,0.00036337093
2011-05-26,0.0011679186,0.00045253924,0.0014821909,0.0014827081,0.0005982181,0.00036185535,0.0021083658,0.0013726461,0.001845155,0.004027884,0.0012281339,0.0013437653,0.0029015704,0.0018775121,0.0035086197,0.00020485751,0.0009206699,0.0012116908,0.00263931,0.0003599548
2011-05-27,0.0011735118,0.00045235883,0.0014751301,0.0014783898,0.00059286534,0.00037369152,0.0021087627,0.0013746428,0.001849726,0.0040241554,0.0012213859,0.0013363917,0.0029003795,0.0018731337,0.0035087762,0.00019691863,0.00091964746,0.0012094534,0.0026395747,0.00035473437
2011-05-30,0.0011784076,0.00045250315,0.0014701141,0.0014753105,0.0005891726,0.000385648,0.0021103385,0.0013760863,0.0018547059,0.004022315,0.0012162857,0.0013306179,0.0029004517,0.001869886,0.003509546,0.0001922034,0.00092041725,0.001208419,0.0026413067,0.00035276168
2011-05-31,0.0011824011,0.00045315272,0.0014694044,0.0014742159,0.0005877532,0.0003980856,0.002111854,0.0013778424,0.0018574964,0.0040208837,0.0012119313,0.0013278393,0.0029025928,0.0018689958,0.0035110617,0.00019201094,0.0009206939,0.0012065305,0.0026411624,0.0003523527
2011-06-01,0.0011875974,0.00045247911,0.0014700419,0.0014728446,0.00058853504,0.00040978947,0.0021144883,0.0013784318,0.0018612734,0.004018875,0.0012056885,0.001328549,0.0029056482,0.001866157,0.0035115548,0.0001963172,0.00092021277,0.0012068794,0.0026415354,0.00035376006
2011-06-02,0.0011904603,0.00045498105,0.0014757195,0.0014720989,0.0005891004,0.0004211926,0.0021183735,0.0013811623,0.0018676727,0.0040157833,0.0012011176,0.0013358865,0.0029103633,0.0018642927,0.0035097986,0.00020520635,0.0009250122,0.0012090084,0.0026427982,0.00035463815
2011-06-03,0.0011942973,0.00045833705,0.001485198,0.0014718703,0.0005891365,0.000430178,0.002121465,0.0013885599,0.001872424,0.004013269,0.001199602,0.0013429233,0.0029176888,0.0018657722,0.0035056488,0.00021161762,0.0009324339,0.0012108247,0.002644747,0.0003533631
2011-06-06,0.0011983991,0.0004627275,0.001496974,0.0014715816,0.00059005065,0.0004379846,0.002124027,0.0013981948,0.0018756357,0.0040108515,0.0011997464,0.0013480114,0.0029262772,0.0018704634,0.0034989968,0.00021486534,0.00093846023,0.001211354,0.0026462865,0.00034896063
2011-06-07,0.0012010575,0.0004683088,0.0015097966,0.0014725318,0.00058991835,0.00044514163,0.0021242676,0.0014092732,0.0018760687,0.0040073995,0.0012013221,0.0013506336,0.0029358882,0.001879112,0.0034899514,0.00021457666,0.00094085396,0.0012069275,0.00264607,0.0003410097
2011-06-08,0.0012024287,0.00047451557,0.001521284,0.0014727364,0.00058965373,0.0004522265,0.0021241233,0.0014178978,0.0018751305,0.004001854,0.0012027535,0.0013507179,0.002945102,0.0018878327,0.0034794863,0.00021202659,0.0009389654,0.001200432,0.0026437365,0.000331062
2011-06-09,0.0012000351,0.00048240635,0.0015336494,0.001473843,0.0005878374,0.0004585656,0.0021216816,0.0014256443,0.0018720751,0.003995022,0.0012046781,0.0013504172,0.0029540274,0.0018987787,0.0034676983,0.00020868263,0.00093477947,0.0011898348,0.0026400557,0.00031876875
2011-06-10,0.0011974128,0.0004903814,0.0015432362,0.0014753586,0.00058676687,0.0004640266,0.002121092,0.0014302633,0.0018692124,0.003988406,0.0012072282,0.0013497917,0.0029626759,0.0019088829,0.0034574259,0.00020504998,0.0009299199,0.0011814267,0.00263587,0.0003087128
2011-06-13,0.0011918074,0.00049915025,0.0015516202,0.0014794363,0.0005852753,0.0004668413,0.0021208755,0.0014338477,0.0018668427,0.00398096,0.0012111495,0.0013505374,0.0029713726,0.0019197327,0.00344826,0.00020099632,0.00092732173,0.0011721767,0.002631299,0.00029872902
2011-06-14,0.0011839407,0.00050499616,0.0015592102,0.0014858716,0.00058386795,0.00046559033,0.0021179286,0.0014372639,0.0018619831,0.003972312,0.0012150949,0.001351223,0.0029795521,0.0019315208,0.0034380597,0.00019492187,0.0009254693,0.0011579348,0.0026246351,0.00028605084
2011-06-15,0.0011789007,0.00050870096,0.0015635766,0.0014923189,0.00058592483,0.0004633049,0.0021161605,0.0014371556,0.0018590001,0.003964012,0.0012164902,0.0013514155,0.0029865648,0.0019404701,0.0034299286,0.00018910001,0.0009199361,0.0011462069,0.0026184283,0.00027580245
2011-06-16,0.0011726578,0.0005149318,0.001567931,0.0014988986,0.00058853504,0.0004620539,0.002114717,0.001436494,0.0018588798,0.003955532,0.0012176329,0.0013537009,0.0029927115,0.0019492629,0.0034233849,0.00018587634,0.0009146435,0.001134936,0.0026142423,0.00026608328
2011-06-17,0.0011662105,0.0005215235,0.0015724658,0.0015056587,0.0005900627,0.00046073075,0.0021128645,0.001437769,0.0018585309,0.0039487355,0.0012196538,0.0013563231,0.0029985814,0.0019588138,0.0034182004,0.00018395175,0.00091221376,0.0011249763,0.0026118367,0.00025838497
